config,mean win rate,mean average score,std. dev. win rate,std. dev. avg. score,int. conf. win rate,int. conf. score
0,14.46%,13.19,0.1003,2.3674,0.0040,0.0941
1,57.01%,21.05,0.0297,0.6081,0.0012,0.0242
2,54.27%,20.40,0.0378,0.5661,0.0015,0.0225
3,51.63%,19.86,0.0201,0.4024,0.0008,0.0160
4,53.76%,20.55,0.0251,0.4359,0.0010,0.0173
5,54.89%,20.46,0.0270,0.5061,0.0011,0.0201
6,53.04%,20.32,0.0225,0.4617,0.0009,0.0183
7,47.54%,19.89,0.1046,1.9086,0.0042,0.0758
8,55.01%,20.65,0.0237,0.3502,0.0009,0.0139
9,52.81%,20.49,0.0179,0.4579,0.0007,0.0182
10,48.91%,19.79,0.0426,0.9783,0.0017,0.0389
11,52.74%,20.34,0.0354,0.6999,0.0014,0.0278
12,48.89%,19.78,0.0355,0.5100,0.0014,0.0203
13,51.21%,20.15,0.0394,1.0544,0.0016,0.0419
14,50.49%,20.13,0.0436,0.7133,0.0017,0.0283
15,47.93%,19.52,0.0506,0.8723,0.0020,0.0347
16,51.20%,20.04,0.0521,0.7800,0.0021,0.0310
17,53.60%,20.42,0.0249,0.6183,0.0010,0.0246
18,50.10%,19.81,0.0585,0.8766,0.0023,0.0348
19,31.88%,16.83,0.0436,0.8361,0.0017,0.0332
20,34.86%,17.48,0.0442,0.8653,0.0018,0.0344
21,36.27%,17.73,0.0368,0.7891,0.0015,0.0314
22,41.89%,18.53,0.0500,0.8648,0.0020,0.0344
23,40.62%,18.74,0.0467,0.6784,0.0019,0.0270
24,41.04%,18.52,0.0442,0.7960,0.0018,0.0316
25,44.48%,18.91,0.0443,0.8887,0.0018,0.0353
26,43.91%,18.82,0.0389,0.8511,0.0015,0.0338
27,42.67%,18.38,0.0781,1.5462,0.0031,0.0614
