config,mean win rate,mean average score,std. dev. win rate,std. dev. avg. score,int. conf. win rate,int. conf. score
0,8.67%,11.85,0.0589,1.8439,0.0023,0.0733
1,35.90%,17.73,0.0237,0.5921,0.0009,0.0235
2,31.10%,16.48,0.0343,0.9230,0.0014,0.0367
3,26.40%,15.39,0.0266,0.7250,0.0011,0.0288
4,31.03%,16.77,0.0468,1.1629,0.0019,0.0462
5,33.60%,16.99,0.0235,0.5380,0.0009,0.0214
6,31.01%,16.70,0.0356,0.9260,0.0014,0.0368
7,30.01%,16.96,0.0729,1.5575,0.0029,0.0619
8,32.69%,16.85,0.0336,0.8552,0.0013,0.0340
9,29.92%,16.58,0.0543,1.1422,0.0022,0.0454
10,28.36%,16.30,0.0527,1.3463,0.0021,0.0535
11,30.10%,16.63,0.0409,1.0413,0.0016,0.0414
12,27.44%,16.12,0.0249,0.6014,0.0010,0.0239
13,28.14%,16.34,0.0370,1.0580,0.0015,0.0420
14,29.22%,16.60,0.0335,0.6652,0.0013,0.0264
15,25.77%,15.52,0.0457,1.1343,0.0018,0.0451
16,29.30%,16.30,0.0366,0.7188,0.0015,0.0286
17,29.98%,16.22,0.0386,0.9993,0.0015,0.0397
18,28.89%,15.98,0.0330,0.6663,0.0013,0.0265
19,15.18%,13.70,0.0279,0.6402,0.0011,0.0254
20,18.40%,14.38,0.0190,0.4869,0.0008,0.0193
21,18.99%,14.51,0.0307,0.8979,0.0012,0.0357
22,22.01%,14.95,0.0330,0.8369,0.0013,0.0333
23,21.28%,15.33,0.0246,0.5670,0.0010,0.0225
24,20.10%,14.97,0.0272,0.7142,0.0011,0.0284
25,24.94%,15.47,0.0450,0.8958,0.0018,0.0356
26,23.55%,15.45,0.0398,1.0485,0.0016,0.0417
27,21.83%,14.80,0.0452,1.2756,0.0018,0.0507
