train/n_updates,time/episodes,time/fps,train/loss,time/time_elapsed,time/total_timesteps,train/learning_rate,rollout/success_rate,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean
21690,1000,473,153.4440444946289,50,23695,0.0001,0.19,0.8499316666666665,21.5,-995.5
41870,2000,453,134.11045761108397,96,43880,0.0001,0.15,0.7220933333333331,18.57,-696.47
60270,3000,438,120.82207336425782,142,62276,0.0001,0.21,0.6055853333333333,18.14,-629.39
76600,4000,429,112.39543075561524,183,78602,0.0001,0.12,0.5021873333333333,15.3,-369.79
91990,5000,423,80.61968231201172,222,93994,0.0001,0.11,0.4047046666666665,16.16,-504.47
107130,6000,415,48.95013771057129,262,109140,0.0001,0.29,0.30877999999999994,16.31,-465.84
122390,7000,410,44.23534736633301,303,124391,0.0001,0.28,0.21219033333333315,18.84,-695.96
137020,8000,406,24.35288906097412,341,139025,0.0001,0.24,0.11950833333333333,13.49,-224.59
152410,9000,401,20.499835586547853,384,154414,0.0001,0.23,0.05,12.01,-71.05
165090,10000,398,11.940441417694093,419,167098,0.0001,0.32,0.05,11.62,-25.16
177060,11000,395,10.159467029571534,452,179062,0.0001,0.4,0.05,11.18,23.99
188380,12000,392,9.06477460861206,484,190383,0.0001,0.44,0.05,11.28,31.71
199490,13000,390,9.26539888381958,515,201497,0.0001,0.47,0.05,10.78,42.28
210400,14000,388,8.866111040115356,546,212407,0.0001,0.49,0.05,10.88,38.6
221160,15000,387,9.397542810440063,576,223170,0.0001,0.48,0.05,10.85,42.48
231970,16000,386,9.402432727813721,606,233974,0.0001,0.47,0.05,10.78,38.63
242810,17000,384,9.944806671142578,636,244812,0.0001,0.52,0.05,10.95,36.5
253610,18000,383,10.411246299743652,666,255618,0.0001,0.53,0.05,10.94,41.78
264410,19000,382,10.8163161277771,696,266420,0.0001,0.51,0.05,11.01,45.76
275090,20000,381,10.759003448486329,726,277092,0.0001,0.57,0.05,10.91,39.3
285880,21000,380,11.114241027832032,757,287884,0.0001,0.46,0.05,10.73,37.16
296590,22000,379,10.88831615447998,786,298594,0.0001,0.53,0.05,10.72,40.6
307350,23000,378,11.08335609436035,816,309358,0.0001,0.54,0.05,10.49,41.59
318150,24000,378,11.215331840515137,846,320153,0.0001,0.52,0.05,10.65,44.0
329030,25000,377,11.319597434997558,877,331034,0.0001,0.58,0.05,10.98,41.48
339830,26000,376,11.077935123443604,907,341834,0.0001,0.57,0.05,10.94,44.98
350570,27000,375,10.698558902740478,937,352578,0.0001,0.5,0.05,10.69,39.42
361390,28000,375,11.73215742111206,967,363393,0.0001,0.55,0.05,10.71,42.89
372260,29000,374,11.492702198028564,998,374262,0.0001,0.55,0.05,11.11,42.84
383020,30000,374,10.976546669006348,1028,385023,0.0001,0.56,0.05,10.9,56.32
393740,31000,373,11.323564434051514,1058,395741,0.0001,0.57,0.05,10.41,46.9
404560,32000,373,10.843148040771485,1089,406568,0.0001,0.49,0.05,10.68,42.33
415370,33000,372,10.422805213928223,1119,417378,0.0001,0.6,0.05,10.84,55.12
426140,34000,372,10.688245391845703,1150,428142,0.0001,0.55,0.05,10.71,52.98
436900,35000,371,10.293077754974366,1180,438906,0.0001,0.54,0.05,10.51,42.75
447750,36000,371,10.507793712615968,1210,449758,0.0001,0.57,0.05,10.64,49.07
458510,37000,371,10.94185495376587,1240,460513,0.0001,0.57,0.05,10.72,42.68
469510,38000,370,10.83368501663208,1271,471519,0.0001,0.52,0.05,10.96,33.95
480350,39000,370,10.543260288238525,1301,482352,0.0001,0.55,0.05,10.67,44.32
491090,40000,370,10.088762760162354,1331,493093,0.0001,0.51,0.05,10.61,39.42
