time/episodes,time/fps,rollout/ep_len_mean,train/loss,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,train/learning_rate,time/total_timesteps,train/n_updates,rollout/exploration_rate
1000,509,25.11,40.40266456604004,49,-1368.97,0.15,1e-05,25349,24840,0.9197281666666667
2000,502,22.68,42.560879135131835,99,-1131.46,0.18,1e-05,49719,49210,0.8425564999999999
3000,495,18.34,46.97139205932617,142,-689.72,0.16,1e-05,70724,70220,0.7760406666666666
4000,488,17.91,41.074144744873045,181,-676.87,0.22,1e-05,88727,88220,0.7190311666666667
5000,483,16.33,29.18922233581543,219,-459.46,0.11,1e-05,106086,105580,0.664061
6000,479,16.7,18.613886070251464,254,-473.56,0.14,1e-05,122070,121560,0.613445
7000,476,15.42,11.854310417175293,287,-360.36,0.2,1e-05,137247,136740,0.5653845
8000,473,14.66,7.035025691986084,320,-324.81,0.28,1e-05,152100,151590,0.5183499999999999
9000,470,14.54,4.400763010978698,354,-305.84,0.25,1e-05,166712,166210,0.47207866666666676
10000,467,14.22,3.118407201766968,387,-261.7,0.31,1e-05,180975,180470,0.4269124999999999
11000,464,13.53,2.503231781721115,418,-217.38,0.34,1e-05,194580,194070,0.3838300000000001
12000,461,12.81,2.9832815766334533,450,-160.25,0.48,1e-05,207780,207270,0.34203000000000017
13000,459,12.16,3.865411615371704,479,-105.57,0.45,1e-05,220525,220020,0.30167083333333344
14000,456,12.25,3.7807275533676146,510,-91.05,0.52,1e-05,232929,232420,0.2623915
15000,454,11.81,4.445927262306213,538,-70.91,0.53,1e-05,244920,244410,0.22441999999999995
16000,452,11.6,4.017827332019806,567,-33.06,0.56,1e-05,256735,256230,0.18700583333333332
17000,450,11.32,5.470331740379334,595,-8.99,0.5,1e-05,268290,267780,0.15041500000000008
18000,447,11.24,5.552365517616272,624,-7.22,0.45,1e-05,279477,278970,0.11498950000000008
19000,445,10.98,5.650626492500305,652,25.37,0.59,1e-05,290506,290000,0.0800643333333334
20000,442,10.9,6.554139518737793,680,39.27,0.51,1e-05,301379,300870,0.05
21000,440,10.79,5.893555545806885,708,45.56,0.59,1e-05,312173,311670,0.05
22000,439,10.94,6.354265785217285,735,50.17,0.62,1e-05,322980,322470,0.05
23000,437,10.67,6.282419872283936,762,43.0,0.5,1e-05,333779,333270,0.05
24000,435,10.25,6.12179217338562,790,54.25,0.59,1e-05,344460,343950,0.05
25000,434,10.91,7.216971731185913,817,43.62,0.48,1e-05,355171,354670,0.05
26000,432,10.83,7.304124546051026,845,35.78,0.54,1e-05,365964,365460,0.05
27000,431,10.6,7.768514251708984,872,52.76,0.57,1e-05,376715,376210,0.05
28000,430,10.85,6.856681537628174,900,41.71,0.6,1e-05,387387,386880,0.05
29000,429,10.49,6.795376253128052,927,47.99,0.56,1e-05,398115,397610,0.05
30000,428,10.46,7.0852350234985355,953,42.92,0.5,1e-05,408786,408280,0.05
31000,428,10.81,6.2658604145050045,980,49.19,0.57,1e-05,419592,419090,0.05
32000,426,10.9,6.797784280776978,1007,40.87,0.55,1e-05,430249,429740,0.05
33000,426,11.01,6.342518329620361,1034,48.7,0.54,1e-05,441009,440500,0.05
34000,425,10.69,6.857403230667114,1061,46.67,0.57,1e-05,451641,451140,0.05
35000,424,10.99,7.030312633514404,1088,42.18,0.6,1e-05,462317,461810,0.05
36000,423,10.56,6.8273622512817385,1116,46.66,0.53,1e-05,473073,472570,0.05
37000,422,10.29,6.769308233261109,1144,49.54,0.6,1e-05,483761,483260,0.05
38000,422,10.74,6.797809696197509,1171,39.32,0.55,1e-05,494429,493920,0.05
