time/fps,time/episodes,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/loss,rollout/success_rate,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
501,1000,0.9068392000000001,24516,0.001,1.6076268672943115,0.22,22510,-1101.46,22.41,48
479,2000,0.82596,45800,0.001,1.7701060056686402,0.27,43790,-909.92,20.54,95
463,3000,0.7527416,65068,0.001,1.7972408771514892,0.22,63060,-724.33,18.39,140
456,4000,0.6846912,82976,0.001,1.944330096244812,0.31,80970,-599.07,17.27,181
450,5000,0.6199581999999999,100011,0.001,2.0619560539722444,0.29,98010,-507.86,16.47,222
444,6000,0.558497,116185,0.001,2.694360303878784,0.3,114180,-422.13,15.75,261
439,7000,0.5005204000000001,131442,0.001,2.429978108406067,0.28,129440,-339.17,14.73,298
434,8000,0.4460436000000002,145778,0.001,2.2716514825820924,0.36,143770,-270.32,13.95,335
430,9000,0.39285500000000007,159775,0.001,2.3945570468902586,0.5,157770,-248.97,14.16,370
427,10000,0.34108000000000005,173400,0.001,2.6308505058288576,0.34,171390,-184.87,13.37,405
425,11000,0.2918472000000002,186356,0.001,2.8024661779403686,0.39,184350,-148.55,12.81,438
422,12000,0.24425979999999992,198879,0.001,2.7996282815933227,0.39,196870,-133.45,12.6,471
419,13000,0.19813539999999996,211017,0.001,2.7720722198486327,0.32,209010,-73.58,12.03,503
417,14000,0.15351199999999998,222760,0.001,2.756088304519653,0.5,220750,-3.87,11.47,533
415,15000,0.11004380000000002,234199,0.001,2.8514453172683716,0.36,232190,-9.62,11.46,564
412,16000,0.06701639999999998,245522,0.001,3.256903958320618,0.39,243520,18.73,10.9,594
410,17000,0.05,256430,0.001,3.5116715908050535,0.45,254420,34.87,10.92,625
407,18000,0.05,267322,0.001,3.0610203742980957,0.47,265320,32.27,10.89,655
405,19000,0.05,278421,0.001,3.047169542312622,0.43,276420,29.11,10.94,685
404,20000,0.05,289472,0.001,3.07857608795166,0.38,287470,30.87,10.64,715
402,21000,0.05,300530,0.001,3.2886425018310548,0.44,298520,22.29,11.09,746
401,22000,0.05,311555,0.001,3.3206649303436278,0.4,309550,24.66,11.06,775
399,23000,0.05,322615,0.001,3.2444424867630004,0.44,320610,36.25,10.98,806
398,24000,0.05,333678,0.001,3.650978660583496,0.51,331670,37.0,11.18,837
397,25000,0.05,344723,0.001,3.4121597051620483,0.56,342720,43.41,10.77,866
396,26000,0.05,355751,0.001,2.881559062004089,0.42,353750,40.61,10.99,897
395,27000,0.05,366837,0.001,3.1127585649490355,0.5,364830,21.8,11.27,928
394,28000,0.05,378001,0.001,3.0592174768447875,0.44,376000,4.09,11.63,958
393,29000,0.05,389138,0.001,3.288515591621399,0.37,387130,19.5,11.1,988
392,30000,0.05,400223,0.001,3.3770076751708986,0.45,398220,32.83,11.07,1018
392,31000,0.05,411291,0.001,3.1605877161026,0.49,409290,24.71,10.94,1048
391,32000,0.05,422322,0.001,3.128568506240845,0.35,420320,31.07,10.75,1078
390,33000,0.05,433529,0.001,3.128624415397644,0.55,431520,-20.02,11.79,1109
389,34000,0.05,444803,0.001,3.0928110837936402,0.43,442800,26.29,11.08,1141
389,35000,0.05,455960,0.001,3.0472485065460204,0.47,453950,29.22,10.9,1171
388,36000,0.05,466999,0.001,3.0860283613204955,0.47,464990,44.04,10.72,1201
387,37000,0.05,478126,0.001,2.9282973051071166,0.43,476120,31.0,11.11,1232
387,38000,0.05,489162,0.001,3.1080954313278197,0.41,487160,24.41,10.86,1263
